ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1105365,MapQuest,201.0,2,2018-06-29 13:05:37,2018-06-29 13:35:21,30.394216999999998,-97.749748,,,0.0,Accident on Great Hills Trl at Jollyville Rd.,9726.0,Great Hills Trl,L,Austin,Travis,TX,78759-6335,US,US/Central,KATT,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-964127,MapQuest,201.0,2,2018-08-16 11:48:06,2018-08-16 12:17:53,35.740685,-78.895424,,,0.0,Accident on Wendhurst Ct at Kelly Rd.,1.0,Wendhurst Ct,L,Apex,Wake,NC,27502-4282,US,US/Eastern,KTTA,2018-08-16 11:40:00,85.1,,65.0,30.15,10.0,WSW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-551442,MapQuest,203.0,2,2019-03-25 17:20:03,2019-03-25 19:22:33,41.045071,-76.69751,,,0.0,Traffic problem due to multi-vehicle accident on PA-254 Broadway both ways at Keefer Mill Rd.,2553.0,Broadway,L,Danville,Montour,PA,17821-6876,US,US/Eastern,KSEG,2019-03-25 16:53:00,43.0,,43.0,30.09,10.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-737205,MapQuest,246.0,3,2018-12-31 07:29:16,2018-12-31 07:58:56,33.017811,-96.98291,,,0.0,Three lanes blocked due to accident on I-35E Southbound at Exit 449 I-35.,,I-35E N,R,Lewisville,Denton,TX,75067,US,US/Central,KDFW,2018-12-31 07:53:00,39.9,35.1,93.0,29.77,10.0,South,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-195159,MapQuest,201.0,2,2016-12-06 14:41:04,2016-12-06 15:55:24,41.956917,-73.894196,,,0.01,Right hand shoulder blocked due to accident on US-9 Southbound at NY-9G.,6879.0,Route 9,R,Rhinebeck,Dutchess,NY,12572-3721,US,US/Eastern,KPOU,2016-12-06 14:53:00,42.1,,67.0,29.98,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2123092,Bing,,2,2018-05-10 15:47:03,2018-05-10 21:47:03,39.61548,-86.47404,39.61235,-86.48406999999999,0.5760000000000001,At IN-39/Exit 59 - Accident. Right lane blocked.,,I-70 W,R,Mooresville,Hendricks,IN,46158,US,US/Eastern,KIND,2018-05-10 15:54:00,81.0,,38.0,29.94,10.0,WNW,13.8,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1492200,MapQuest,245.0,3,2017-11-09 16:09:25,2017-11-09 16:39:08,37.700404999999996,-122.471291,,,0.0,Two lanes blocked due to accident on I-280 Northbound at Exits 49 49B CA-1.,,I-280 N,R,Daly City,San Mateo,CA,94014,US,US/Pacific,KSFO,2017-11-09 15:56:00,64.9,,63.0,30.02,10.0,SSW,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2122231,Bing,,2,2018-05-08 11:00:33,2018-05-08 17:00:33,35.85824,-78.82153000000001,35.85824,-78.82153000000001,0.0,At Slater Rd - Accident.,2601.0, Slater Rd,R,Morrisville,Wake,NC,27560,US,US/Eastern,KRDU,2018-05-08 10:51:00,69.1,,61.0,30.16,10.0,NE,13.8,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-907854,MapQuest,201.0,2,2018-09-19 12:44:12,2018-09-19 13:13:57,35.237064000000004,-80.92025799999999,,,0.0,Accident on Billy Graham Pkwy at Scott Futrell Dr.,5019.0,Billy Graham Pkwy,R,Charlotte,Mecklenburg,NC,28208,US,US/Eastern,KCLT,2018-09-19 12:52:00,87.1,,49.0,30.0,10.0,North,8.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1540759,MapQuest,241.0,2,2017-10-05 19:53:24,2017-10-05 20:38:09,34.997982,-81.977203,,,0.0,Lane blocked due to accident on Valley Falls Rd at University Way.,7719.0,Valley Falls Rd,R,Spartanburg,Spartanburg,SC,29303-6201,US,US/Eastern,KSPA,2017-10-05 19:55:00,68.0,,73.0,30.16,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-1434045,MapQuest,201.0,2,2017-12-11 08:28:21,2017-12-11 08:58:08,36.016312,-86.616005,,,0.0,Accident on Firestone Pkwy at Gould Blvd.,998.0,Firestone Pkwy,R,La Vergne,Rutherford,TN,37086-3503,US,US/Central,KMQY,2017-12-11 08:56:00,39.9,35.8,65.0,30.13,10.0,South,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2216109,Bing,,2,2017-10-23 05:36:23,2017-10-23 11:36:23,36.1305,-86.72765,36.1223,-86.72756,0.5670000000000001,At I-440/Exit 53 - Accident.,,I-24 E,R,Nashville,Davidson,TN,37217,US,US/Central,KBNA,2017-10-23 05:53:00,62.1,,93.0,29.83,10.0,SSW,3.5,0.22,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-1477473,MapQuest,201.0,2,2017-11-02 20:00:22,2017-11-02 20:30:04,40.253192999999996,-75.535912,,,0.0,Accident on Swamp Pike at Sankey Rd.,367.0,Swamp Pike,R,Schwenksville,Montgomery,PA,19473-1406,US,US/Eastern,KPTW,2017-11-02 19:54:00,66.0,,78.0,30.18,10.0,South,3.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2142769,Bing,,2,2018-03-02 06:50:04,2018-03-02 12:50:04,34.63603,-118.15338,34.628170000000004,-118.15338999999999,0.5429999999999999,At Avenue N - Accident.,,CA-14 S,R,Palmdale,Los Angeles,CA,93551,US,US/Pacific,KPMD,2018-03-02 06:53:00,48.0,,68.0,29.98,10.0,SW,11.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1773012,Bing,,2,2017-01-11 17:25:35,2017-01-11 23:25:35,26.103165,-80.265165,26.103360000000002,-80.26606,0.057,At S Pine Island Rd/SW 88th Ave - Accident.,,W State Road 84,R,Fort Lauderdale,Broward,FL,33324,US,US/Eastern,KHWO,2017-01-11 17:53:00,72.0,,66.0,30.27,10.0,ENE,11.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-68262,MapQuest,201.0,2,2016-11-01 10:46:43,2016-11-01 11:25:00,34.155125,-118.31008100000001,,,0.01,Right hand shoulder blocked due to accident on CA-134 Eastbound at Exit 4 Forest Lawn Dr.,,CA-134 W,R,Los Angeles,Los Angeles,CA,90027,US,US/Pacific,KCQT,2016-11-01 10:47:00,64.0,,67.0,30.05,10.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1512273,MapQuest,241.0,3,2017-11-21 11:13:26,2017-11-21 11:42:41,36.874905,-76.197243,,,0.0,One lane blocked due to accident on I-64 Eastbound near Exit 282 US-13 Northampton Blvd.,,Northampton Blvd,R,Norfolk,Norfolk,VA,23502,US,US/Eastern,KORF,2017-11-21 10:51:00,55.9,,53.0,30.25,10.0,WSW,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1377050,MapQuest,201.0,3,2018-01-12 19:03:39,2018-01-12 20:03:22,41.295596999999994,-72.917732,,,0.0,Left lane closed due to accident on I-95 Southbound at Exits 47 48 I-91.,,Governor John Davis Lodge Tpke S,R,New Haven,New Haven,CT,06511,US,US/Eastern,KHVN,2018-01-12 18:53:00,51.1,,100.0,29.75,0.2,SSW,6.9,,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2028091,Bing,,2,2018-12-17 11:51:49,2018-12-17 12:21:08,35.215069,-80.83790400000001,35.21903,-80.83322,0.381,Between NC-16/Kenilworth Ave/Exit 2 and NC-16/E 4th St/Exit 2 - Accident. Broken down vehicle.,,I-277 N,R,Charlotte,Mecklenburg,NC,28204,US,US/Eastern,KCLT,2018-12-17 11:52:00,59.0,,46.0,30.06,10.0,NNW,5.8,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2237857,Bing,,2,2017-08-16 16:41:21,2017-08-16 22:41:21,37.823932,-92.174887,37.8248,-92.16381,0.608,At I-44-BL/Exit 159 - Accident.,,I-44 E,R,Saint Robert,Pulaski,MO,65584,US,US/Central,KTBN,2017-08-16 16:52:00,71.6,,88.0,29.91,8.0,South,4.6,,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-23616,MapQuest,201.0,2,2016-10-07 13:29:35,2016-10-07 13:59:13,37.676033000000004,-121.805481,,,0.0,Accident on CA-84 Isabel Ave at Stanley Blvd.,2.0,Stanley Blvd,R,Pleasanton,Alameda,CA,94566,US,US/Pacific,KLVK,2016-10-07 13:53:00,81.0,,18.0,29.95,10.0,ENE,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1085756,MapQuest,201.0,3,2018-06-19 08:59:40,2018-06-19 09:44:24,37.408896999999996,-121.878845,,,0.0,Right hand shoulder blocked due to accident on I-680 Southbound near Exit 6 County Hwy-G4 Montague Expy.,,I-680 S,R,San Jose,Santa Clara,CA,95132,US,US/Pacific,KSJC,2018-06-19 08:53:00,63.0,,72.0,30.05,10.0,Calm,,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1192880,MapQuest,201.0,3,2018-04-11 17:29:12,2018-04-11 18:13:53,26.033428,-80.16449,,,0.0,Left lane blocked due to accident on I-95 Northbound at Exit 21 FL-822 Sheridan St.,,I-95 S,R,Hollywood,Broward,FL,33020,US,US/Eastern,KFLL,2018-04-11 17:53:00,75.0,,71.0,30.03,10.0,NNE,12.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2054,MapQuest,201.0,2,2016-07-04 12:34:12,2016-07-04 13:04:12,37.766459999999995,-122.405273,,,0.0,Accident on US-101 Southbound at I-80 Exits 1A 1B.,,Central Fwy,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-07-04 12:56:00,68.0,,63.0,30.04,10.0,NNE,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1693216,MapQuest,201.0,2,2017-08-15 21:10:20,2017-08-15 21:40:13,32.909191,-96.886604,,,0.0,Accident on Forest Ln at Grissom Ln.,2701.0,Forest Ln,L,Dallas,Dallas,TX,75234-7307,US,US/Central,KADS,2017-08-15 20:47:00,91.4,,43.0,29.8,13.0,SE,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-1813406,Bing,,4,2016-06-22 23:42:50,2016-06-23 05:42:50,34.075133,-83.886065,34.075,-83.887068,0.057999999999999996,Closed at Braselton - Road closed due to accident.,,Braselton Hwy,R,Hoschton,Gwinnett,GA,30548,US,US/Eastern,KWDR,2016-06-22 23:35:00,82.4,,54.0,30.12,10.0,SW,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1235706,MapQuest,201.0,3,2018-03-01 16:03:35,2018-03-01 16:33:16,32.365318,-86.286377,,,0.0,Accident on I-85 Northbound at Exit 2 Forest Ave.,,I-85 N,R,Montgomery,Montgomery,AL,36106,US,US/Central,KMXF,2018-03-01 16:02:00,60.8,,77.0,29.98,10.0,Calm,,,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2035877,Bing,,2,2018-10-31 08:49:29,2018-10-31 09:18:53,42.4688,-82.91919,42.463029999999996,-82.92258000000001,0.435,At 9 Mile Rd/Exit 227 - Accident.,,I-94 W,R,Saint Clair Shores,Macomb,MI,48080,US,US/Eastern,KDET,2018-10-31 08:48:00,57.2,,94.0,29.75,3.0,SW,9.2,0.07,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-669993,MapQuest,201.0,2,2019-01-23 09:19:22,2019-01-23 09:51:00,39.667259,-104.893707,,,0.0,Accident on Syracuse Way at Yale Ave.,2703.0,S Syracuse Way,R,Denver,Arapahoe,CO,80231,US,US/Mountain,KAPA,2019-01-23 08:53:00,27.0,18.7,41.0,30.13,10.0,WSW,8.1,,Scattered Clouds,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-692299,MapQuest,201.0,2,2018-12-04 22:14:14,2018-12-04 22:43:56,35.249889,-80.749313,,,0.0,Accident on The Plaza at Fairmarket Pl.,6398.0,The Plaza,R,Charlotte,Mecklenburg,NC,28215,US,US/Eastern,KJQF,2018-12-04 21:51:00,42.8,39.3,57.0,30.1,10.0,NNE,5.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-74794,MapQuest,201.0,2,2016-11-23 23:49:59,2016-11-24 00:34:38,34.135220000000004,-118.35888700000001,,,0.01,Slow lane blocked due to accident on US-101 Northbound at Exits 12A 12B Lankershim Blvd.,,US-101 N,R,Los Angeles,Los Angeles,CA,90068,US,US/Pacific,KBUR,2016-11-23 23:53:00,52.0,,57.0,30.11,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1605597,MapQuest,201.0,3,2017-09-07 04:53:29,2017-09-07 05:23:13,42.884033,-78.768097,,,2.04999995232,Left lane blocked due to accident on I-90 Eastbound from Exit 53 I-190 to Exit 52A County Hwy-207 William St.,,William St,R,Buffalo,Erie,NY,14227,US,US/Eastern,KBUF,2017-09-07 04:54:00,55.0,,93.0,29.85,10.0,SSW,5.8,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1552410,MapQuest,201.0,3,2017-10-11 07:35:29,2017-10-11 08:19:38,41.062222,-81.525871,,,0.0,Accident on I-76 Eastbound at Broadway St.,,I-76 E,R,Akron,Summit,OH,44311,US,US/Eastern,KAKR,2017-10-11 07:54:00,62.1,,86.0,29.99,10.0,East,6.9,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-753428,MapQuest,201.0,2,2018-11-07 08:50:02,2018-11-07 09:19:56,40.633347,-80.05950899999999,,,0.0,Accident on US-19 Perry Hwy at Wallace Rd.,,Wallace Rd,R,Wexford,Allegheny,PA,15090,US,US/Eastern,KBTP,2018-11-07 08:56:00,43.0,36.0,80.0,30.09,10.0,WSW,13.8,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-1078869,MapQuest,201.0,3,2018-06-15 13:35:15,2018-06-15 14:04:56,33.501827,-86.81450699999999,,,0.0,Left lane closed due to accident on I-65 Southbound at Exit 259A 6th Ave.,,I-65 N,R,Birmingham,Jefferson,AL,35233,US,US/Central,KBHM,2018-06-15 13:53:00,84.0,,61.0,29.99,7.0,Calm,,0.07,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1955450,Bing,,3,2017-07-26 17:25:17,2017-07-26 23:25:17,44.916447,-93.144409,44.9167,-93.14443,0.018000000000000002,At MN-5/7th St/Exit 103B - Accident.,,I-35E N,R,Saint Paul,Ramsey,MN,55102,US,US/Central,KSTP,2017-07-26 17:53:00,82.9,,49.0,29.95,10.0,NNE,10.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-392207,MapQuest,201.0,3,2017-03-21 23:02:01,2017-03-21 23:31:43,32.670513,-96.970558,,,0.01,#1 lane blocked due to accident on I-20 Eastbound at Exit 458 Mountain Creek Pkwy.,,Mountain Creek Pkwy,R,Dallas,Dallas,TX,75236,US,US/Central,KRBD,2017-03-21 22:53:00,69.1,,68.0,30.01,10.0,South,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-621908,MapQuest,201.0,2,2019-02-26 09:42:37,2019-02-26 10:12:11,33.194691,-80.595093,,,0.0,Accident on US-78 Jim Bilton Blvd both ways at Legare Rd.,5898.0,Memorial Blvd,L,Saint George,Dorchester,SC,29477,US,US/Eastern,KRBW,2019-02-26 09:35:00,53.6,,54.0,30.44,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-268642,MapQuest,201.0,2,2017-01-06 13:05:22,2017-01-06 14:10:00,32.939629,-96.821938,,,0.01,Right lane blocked due to accident on Dallas North Tollway Southbound at Spring Valley Rd.,,Dallas North Tollway N,R,Dallas,Dallas,TX,75254,US,US/Central,KADS,2017-01-06 12:47:00,23.0,6.6,68.0,30.33,10.0,North,25.3,,Snow Grains,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-1439934,MapQuest,201.0,2,2017-12-13 12:15:20,2017-12-13 12:44:57,35.236717,-80.77561999999999,,,0.0,Accident on Eastway Dr at Frontenac Ave.,,Frontenac Ave,R,Charlotte,Mecklenburg,NC,28205,US,US/Eastern,KCLT,2017-12-13 11:52:00,41.0,35.8,26.0,29.98,10.0,South,8.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-848148,MapQuest,201.0,2,2018-10-22 06:40:31,2018-10-22 07:24:58,42.5681,-82.950623,,,0.0,Accident on Metro Pkwy Westbound in Clinton.,17057.0,Metro Pkwy,L,Clinton Township,Macomb,MI,48035,US,US/Eastern,KMTC,2018-10-22 07:05:00,37.4,30.8,56.0,30.07,10.0,SW,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-1439381,MapQuest,201.0,3,2017-12-13 06:05:13,2017-12-13 06:50:39,43.123837,-76.124107,,,0.0,Accident on I-81 Southbound at Exit 28 County Hwy-19 Taft Rd.,,I-81 N,R,Syracuse,Onondaga,NY,13212,US,US/Eastern,KSYR,2017-12-13 06:01:00,14.0,-3.0,95.0,29.5,0.5,West,18.4,0.0,Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-2112416,Bing,,2,2018-06-12 15:27:00,2018-06-12 21:27:00,28.289859999999997,-81.41618000000001,28.289859999999997,-81.41618000000001,0.0,At Patrick St - Accident.,204.0, S John Young Pkwy,R,Kissimmee,Osceola,FL,34741-5607,US,US/Eastern,KISM,2018-06-12 15:56:00,90.0,,50.0,30.05,10.0,WSW,3.5,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-1107241,MapQuest,241.0,3,2018-04-30 08:23:38,2018-04-30 08:53:17,33.848824,-84.431076,,,0.0,One lane blocked due to accident on I-75 Southbound before Paces Ferry Rd.,,I-75 S,R,Atlanta,Fulton,GA,30327,US,US/Eastern,KMGE,2018-04-30 07:56:00,47.7,,71.0,30.29,10.0,NE,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-651572,MapQuest,201.0,2,2019-01-15 08:04:14,2019-01-15 08:48:41,41.42054,-81.798965,,,0.0,Accident on I-480 Westbound before Exit 12A 150th St.,,I-480 W,R,Cleveland,Cuyahoga,OH,44135,US,US/Eastern,KCLE,2019-01-15 07:51:00,23.0,13.1,81.0,30.26,7.0,SSW,9.2,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1536457,MapQuest,201.0,2,2017-10-03 08:56:46,2017-10-03 09:41:31,36.976463,-122.035027,,,0.0,Accident on Escalona Dr at Storey St.,199.0,Storey St,L,Santa Cruz,Santa Cruz,CA,95060-3419,US,US/Pacific,KWVI,2017-10-03 08:53:00,54.0,,80.0,29.83,10.0,SW,3.5,,Clear,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
A-811469,MapQuest,201.0,3,2018-10-04 17:15:31,2018-10-04 18:00:09,42.483002,-83.43937700000001,,,0.0,Left hand shoulder blocked and left lane blocked due to accident on I-96 I-275 Westbound after I-696.,,I-696 E,R,Novi,Oakland,MI,48377,US,US/Eastern,KPTK,2018-10-04 16:53:00,60.1,,51.0,30.13,10.0,North,12.7,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1712897,MapQuest,201.0,2,2017-08-24 07:37:40,2017-08-24 08:22:23,36.300877,-82.354019,,,0.0,Accident on Magnolia Ext at US-321 University Pkwy.,699.0,University Pkwy,L,Johnson City,Washington,TN,37604-7362,US,US/Eastern,KTRI,2017-08-24 07:53:00,61.0,,93.0,29.96,10.0,Calm,,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1761096,Bing,,3,2016-12-05 08:44:54,2016-12-05 14:44:54,26.10289,-80.25010999999999,26.09815,-80.2509,0.331,At I-595/SR-84 - Accident.,1535.0, S University Dr,R,Plantation,Broward,FL,33324-4018,US,US/Eastern,KHWO,2016-12-05 08:45:00,80.1,,76.0,30.05,10.0,SE,10.4,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1784539,Bing,,2,2016-11-14 10:18:48,2016-11-14 16:18:48,40.166090000000004,-76.8289,40.16025,-76.8252,0.44799999999999995,At PA-177/Exit 35 - Accident.,,I-83 S,R,Lewisberry,York,PA,17339,US,US/Eastern,KCXY,2016-11-14 09:56:00,48.9,,38.0,30.1,10.0,NNW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-395297,MapQuest,201.0,2,2017-02-16 05:28:41,2017-02-16 06:19:37,47.487312,-122.258125,,,0.01,Center lane blocked due to accident on WA-900 Martin Luther King Jr Way at 129th St.,6000.0,S 129th St,L,Seattle,King,WA,98178-4608,US,US/Pacific,KRNT,2017-02-16 05:33:00,50.0,,96.0,29.42,3.0,South,3.5,0.07,Light Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
